Bezirk,Δ 7 Tage / 100.000 EW,Δ Vortag / 100.000 EW
Amstetten,"10,33","0,86"
Baden,"54,72","6,16"
Bludenz,"34,32","1,56"
Braunau am Inn,"23,94","3,83"
Bregenz,"57,04","12,59"
Bruck an der Leitha,"42,15","6,86"
Bruck-Mürzzuschlag,"22,23","3,03"
Deutschlandsberg,"14,8","3,29"
Dornbirn,"47,84","5,56"
Eferding,"15,08",0
Eisenstadt,"20,5","-40,99"
Eisenstadt-Umgebung,"27,95","6,99"
Feldkirch,"42,54","6,47"
Feldkirchen,"16,7",0
Freistadt,"37,53","4,5"
Gmunden,"16,73","0,98"
Gmünd,"127,81","2,72"
Graz,"44,67","4,16"
Graz-Umgebung,"25,93","3,24"
Grieskirchen,"54,08","9,27"
Gänserndorf,"56,9","4,82"
Güssing,"73,65","15,51"
Hallein,"51,35","6,63"
Hartberg-Fürstenfeld,"19,86","4,41"
Hermagor,"76,82","65,85"
Hollabrunn,"3,93",0
Horn,"16,08",0
Imst,"41,63","1,67"
Innsbruck,"83,26","7,57"
Innsbruck-Land,"40,15","3,9"
Jennersdorf,"17,58","5,86"
Kirchdorf an der Krems,"15,83","1,76"
Kitzbühel,"31,31","1,57"
Klagenfurt,"18,85","0,99"
Klagenfurt Land,"25,08","1,67"
Korneuburg,"39,61","2,2"
Krems (Land),"83,04","3,53"
Krems an der Donau,"104,52","8,04"
Kufstein,"35,56","8,21"
Landeck,"33,81",0
Leibnitz,"26,14",0
Leoben,"13,32","1,67"
Lienz,"6,15",0
Liezen (inkl. Gröbming),"30,04","5,01"
Lilienfeld,"34,87",0
Linz,"41,32","2,43"
Linz-Land,"25,29","3,99"
Mattersburg,"27,55","7,51"
Melk,"84,66","3,85"
Mistelbach,"47,69","9,27"
Murau,"28,92",0
Murtal,"11,11","1,39"
Mödling,"72,27","8,4"
Neunkirchen,"61,42",0
Neusiedl am See,"65,49","10,08"
Oberpullendorf,"15,99","5,33"
Oberwart,"40,68","9,25"
Perg,"27,75",0
Reutte,"6,12",0
Ried im Innkreis,"124,17","9,8"
Rohrbach,"5,31",0
Rust,0,0
Salzburg,"35,67","3,24"
Salzburg-Umgebung,"14,45","1,97"
Sankt Johann im Pongau,"39,72","3,72"
Sankt Pölten,"58,14","7,27"
Sankt Pölten (Land),"36,63","3,05"
Sankt Veit an der Glan,22,0
Scheibbs,"86,95",0
Schwaz,"71,54","7,15"
Schärding,"52,35","12,21"
Spittal an der Drau,"6,57",0
Steyr,"41,89",0
Steyr-Land,"9,93",0
Südoststeiermark,"4,75",0
Tamsweg,0,"-4,92"
Tulln,"43,36","3,85"
Urfahr-Umgebung,"31,58","3,51"
Villach,"30,53",0
Villach Land,"27,83","1,55"
Voitsberg,"37,14","-1,95"
Vöcklabruck,"31,56","5,87"
Völkermarkt,"4,78","4,78"
Waidhofen an der Thaya,"65,67",0
Waidhofen an der Ybbs,"8,88",0
Weiz,"17,71",0
Wels,"38,88","9,72"
Wels-Land,"67,04","28,73"
Wien,"106,88","16,18"
Wiener Neustadt,"83,93","2,21"
Wiener Neustadt (Land),"28,21","2,56"
Wolfsberg,"7,59","1,9"
Zell am See,"27,44","4,57"
Zwettl,45,"2,37"
