Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14895;6918;22;52
Rust(Stadt);102;2000;880;2;7
Eisenstadt-Umgebung;103;43861;19757;69;212
Güssing;104;25770;11491;95;43
Jennersdorf;105;17109;7617;41;5
Mattersburg;106;40316;17988;82;129
Neusiedl am See;107;60397;27237;83;157
Oberpullendorf;108;37453;16322;63;102
Oberwart;109;54209;23968;145;66
Klagenfurt Stadt;201;101765;41994;275;223
Villach Stadt;202;63236;26342;172;77
Hermagor;203;18052;8339;61;22
Klagenfurt Land;204;60503;26546;126;125
Sankt Veit an der Glan;205;53880;24175;164;128
Spittal an der Drau;206;75628;35022;262;98
Villach Land;207;64920;29194;190;96
Völkermarkt;208;41834;20215;117;77
Wolfsberg;209;52488;23841;178;61
Feldkirchen;210;29783;13588;82;20
Krems an der Donau(Stadt);301;24837;10858;72;76
Sankt Pölten(Stadt);302;55878;26367;135;149
Waidhofen an der Ybbs(Stadt);303;11134;6149;39;23
Wiener Neustadt(Stadt);304;46456;22234;177;146
Amstetten;305;116592;67825;302;247
Baden;306;147113;67977;314;455
Bruck an der Leitha;307;105507;47908;216;478
Gänserndorf;308;105824;45700;168;402
Gmünd;309;36275;16851;152;156
Hollabrunn;310;51332;21769;91;169
Horn;311;30838;13670;60;72
Korneuburg;312;91777;39100;141;394
Krems(Land);313;56559;27594;97;166
Lilienfeld;314;25474;13620;113;47
Melk;315;78281;43875;281;204
Mistelbach;316;75655;32663;100;247
Mödling;317;119240;51334;267;470
Neunkirchen;318;86323;40858;246;195
Sankt Pölten(Land);319;132064;64695;293;403
Scheibbs;320;41567;24359;94;83
Tulln;321;105762;46300;206;371
Waidhofen an der Thaya;322;25531;12101;67;67
Wiener Neustadt(Land);323;79033;38592;195;221
Zwettl;325;41827;22480;84;133
Linz(Stadt);401;206537;90904;426;408
Steyr(Stadt);402;37952;17128;65;81
Wels(Stadt);403;62654;30689;155;96
Braunau am Inn;404;106492;60526;252;269
Eferding;405;33368;16900;73;62
Freistadt;406;66922;36680;182;91
Gmunden;407;102102;53340;228;272
Grieskirchen;408;65137;35623;142;112
Kirchdorf an der Krems;409;57163;29379;147;97
Linz-Land;410;152391;73963;275;279
Perg;411;69241;38207;149;149
Ried im Innkreis;412;61850;34116;166;80
Rohrbach;413;56623;30708;156;201
Schärding;414;57438;30792;153;83
Steyr-Land;415;60936;31939;145;116
Urfahr-Umgebung;416;86235;44888;153;154
Vöcklabruck;417;137993;75974;327;396
Wels-Land;418;74574;40191;114;183
Salzburg(Stadt);501;155416;75909;287;606
Hallein;502;60992;36395;137;179
Salzburg-Umgebung;503;154624;90073;299;580
Sankt Johann im Pongau;504;81392;46553;184;178
Tamsweg;505;20118;10962;64;16
Zell am See;506;88168;45102;183;198
Graz(Stadt);601;291134;121624;534;672
Deutschlandsberg;603;60871;28282;177;108
Graz-Umgebung;606;157853;72188;415;311
Leibnitz;610;85294;40123;181;90
Leoben;611;59151;23424;184;81
Liezen;612;79592;36519;215;125
Murau;614;27449;11812;59;37
Voitsberg;616;50947;22239;178;45
Weiz;617;90916;44728;251;114
Murtal;620;71356;30854;270;91
Bruck-Mürzzuschlag;621;98054;39310;350;164
Hartberg-Fürstenfeld;622;90619;42365;300;114
Südoststeiermark;623;83841;38926;286;111
Innsbruck-Stadt;701;131059;61924;220;463
Imst;702;60922;33703;87;129
Innsbruck-Land;703;181698;92197;261;503
Kitzbühel;704;64676;32537;95;101
Kufstein;705;111080;59175;236;205
Landeck;706;44346;25577;84;77
Lienz;707;48814;26339;132;76
Reutte;708;33054;16467;24;98
Schwaz;709;84456;42717;201;132
Bludenz;801;64368;34605;87;191
Bregenz;802;135310;68889;225;559
Dornbirn;803;90502;47054;160;254
Feldkirch;804;109057;57052;166;314
Wien;900;1920949;916783;3994;8530
