Bezirk,Δ 7 Tage / 100.000 EW,Δ Vortag / 100.000 EW
Amstetten,"10,33","4,31"
Baden,"55,4","11,63"
Bludenz,"62,4","7,8"
Braunau am Inn,"23,94","5,75"
Bregenz,"65,19","8,89"
Bruck an der Leitha,"35,29","5,88"
Bruck-Mürzzuschlag,"20,21","5,05"
Deutschlandsberg,"18,09","1,64"
Dornbirn,"75,66","6,68"
Eferding,"36,19",0
Eisenstadt,"20,5","6,83"
Eisenstadt-Umgebung,"32,61","2,33"
Feldkirch,"36,99","4,62"
Feldkirchen,"6,68","-3,34"
Freistadt,"43,53","9,01"
Gänserndorf,"73,3","7,72"
Gmünd,"100,62","27,19"
Gmunden,"23,61","0,98"
Graz,"46,05","4,85"
Graz-Umgebung,"23,99","1,94"
Grieskirchen,"47,9",0
Güssing,"58,15","7,75"
Hallein,"44,72","8,28"
Hartberg-Fürstenfeld,"28,69","1,1"
Hermagor,0,0
Hollabrunn,"13,76","1,97"
Horn,"12,87","6,43"
Imst,"36,63","3,33"
Innsbruck-Land,"63,57","6,13"
Innsbruck-Stadt,"132,47","6,06"
Jennersdorf,"23,44","5,86"
Kirchdorf an der Krems,"19,34",0
Kitzbühel,"46,96","9,39"
Klagenfurt Land,"21,74",0
Klagenfurt Stadt,"11,9","4,96"
Korneuburg,"44,01","6,6"
Krems (Land),"79,51","15,9"
Krems an der Donau,"100,5","40,2"
Kufstein,"56,53","12,76"
Landeck,"63,12","4,51"
Leibnitz,"36,84","4,75"
Leoben,"13,32",0
Lienz,"18,46",0
Liezen,"26,28","2,5"
Lilienfeld,"34,87","7,75"
Linz,"53,96","2,43"
Linz-Land,"47,91",2
Mattersburg,"5,01","-2,5"
Melk,"69,26","16,67"
Mistelbach,"46,37","5,3"
Mödling,"60,51","14,29"
Murau,"43,39","3,62"
Murtal,"11,11","2,78"
Neunkirchen,"79,96","12,75"
Neusiedl am See,"63,81","6,72"
Oberpullendorf,"13,33",0
Oberwart,"36,98","9,25"
Perg,"37,98","1,46"
Reutte,"36,73","3,06"
Ried im Innkreis,"114,37","19,61"
Rohrbach,"7,08",0
Rust,0,0
Salzburg,"38,26","5,84"
Salzburg-Umgebung,"22,33","3,94"
Sankt Johann im Pongau,"54,61","8,69"
Sankt Pölten,"41,78","5,45"
Sankt Pölten (Land),"29,76","8,39"
Sankt Veit an der Glan,"12,83","1,83"
Schärding,"19,19","5,23"
Scheibbs,"55,55","16,91"
Schwaz,"90,61","5,96"
Spittal an der Drau,"6,57",0
Steyr,"36,66","18,33"
Steyr-Land,"8,27","1,65"
Südoststeiermark,"4,75",0
Tamsweg,"14,76","4,92"
Tulln,"49,15","12,53"
Urfahr-Umgebung,"30,41","10,53"
Villach Land,"32,47","4,64"
Villach Stadt,"35,35","8,03"
Vöcklabruck,"38,9","7,34"
Voitsberg,"19,55",0
Völkermarkt,"4,78","2,39"
Waidhofen an der Thaya,"100,43","15,45"
Waidhofen an der Ybbs,"-8,88",0
Weiz,"19,92","2,21"
Wels,"24,3","1,62"
Wels-Land,"28,73","1,37"
Wien,"116,31","21,55"
Wiener Neustadt,"86,14","17,67"
Wiener Neustadt (Land),"30,77","5,13"
Wolfsberg,"3,79",0
Zell am See,"20,58","1,14"
Zwettl,"78,16","7,11"
