Bezirk,Bundesland,Δ 100.000 / 7 Tage,Δ 7 Tage,Gesamt
Amstetten,Niederöstereich,"38,8",45,425
Baden,Niederöstereich,"67,7",99,693
Bludenz,Vorarlberg,"37,7",24,470
Braunau am Inn,Oberösterreich,"26,8",28,346
Bregenz,Vorarlberg,"55,8",75,631
Bruck an der Leitha,Niederöstereich,98,100,464
Bruck-Mürzzuschlag,Steiermark,"38,4",38,187
Deutschlandsberg,Steiermark,"13,2",8,108
Dornbirn,Vorarlberg,"59,5",53,506
Eferding,Oberösterreich,3,1,128
Eisenstadt,Burgenland,"13,7",2,46
Eisenstadt-Umgebung,Burgenland,"39,6",17,125
Feldkirch,Vorarlberg,"119,4",128,569
Feldkirchen,Kärnten,"3,3",1,37
Freistadt,Oberösterreich,45,30,318
Gänserndorf,Niederöstereich,"59,8",62,469
Gmünd,Niederöstereich,"92,5",34,128
Gmunden,Oberösterreich,"74,8",76,338
Graz,Steiermark,"31,5",91,1.329
Graz-Umgebung,Steiermark,"31,8",49,488
Grieskirchen,Oberösterreich,"24,7",16,201
Güssing,Burgenland,"116,3",30,96
Hallein,Salzburg,"145,8",88,273
Hartberg-Fürstenfeld,Steiermark,"13,2",12,406
Hermagor,Kärnten,"142,7",26,55
Hollabrunn,Niederöstereich,"55,1",28,111
Horn,Niederöstereich,"19,3",6,117
Imst,Tirol,"54,9",33,446
Innsbruck-Land,Tirol,"84,8",152,1.042
Innsbruck-Stadt,Tirol,"135,5",179,1.376
Jennersdorf,Burgenland,0,0,19
Kirchdorf an der Krems,Oberösterreich,"12,3",7,148
Kitzbühel,Tirol,"29,7",19,480
Klagenfurt Land,Kärnten,"16,7",10,105
Klagenfurt Stadt,Kärnten,"14,9",15,219
Korneuburg,Niederöstereich,"61,6",56,451
Krems (Land),Niederöstereich,"70,7",40,334
Krems an der Donau,Niederöstereich,"84,4",21,141
Kufstein,Tirol,"49,2",54,973
Landeck,Tirol,133,59,1.183
Leibnitz,Steiermark,"12,1",10,271
Leoben,Steiermark,40,24,115
Lienz,Tirol,"2,1",1,183
Liezen,Steiermark,"31,3",25,204
Lilienfeld,Niederöstereich,31,8,103
Linz,Oberösterreich,"94,8",195,1.486
Linz-Land,Oberösterreich,"72,5",109,1.013
Mattersburg,Burgenland,"37,6",15,148
Melk,Niederöstereich,"52,6",41,367
Mistelbach,Niederöstereich,"70,2",53,349
Mödling,Niederöstereich,"84,9",101,630
Murau,Steiermark,"3,6",1,38
Murtal,Steiermark,"15,3",11,125
Neunkirchen,Niederöstereich,"41,7",36,496
Neusiedl am See,Burgenland,89,53,231
Oberpullendorf,Burgenland,"66,6",25,80
Oberwart,Burgenland,"33,3",18,231
Perg,Oberösterreich,"24,8",17,461
Reutte,Tirol,"3,1",1,120
Ried im Innkreis,Oberösterreich,"125,8",77,297
Rohrbach,Oberösterreich,"74,3",42,271
Rust,Burgenland,0,0,3
Salzburg,Salzburg,"42,2",65,582
Salzburg-Umgebung,Salzburg,"46,6",71,522
Sankt Johann im Pongau,Salzburg,"49,6",40,613
Sankt Pölten,Niederöstereich,"141,7",78,296
Sankt Pölten (Land),Niederöstereich,"59,5",78,583
Sankt Veit an der Glan,Kärnten,"16,5",9,85
Schärding,Oberösterreich,"26,2",15,135
Scheibbs,Niederöstereich,"19,3",8,167
Schwaz,Tirol,"89,4",75,730
Spittal an der Drau,Kärnten,"5,3",4,82
Steyr,Oberösterreich,"23,6",9,177
Steyr-Land,Oberösterreich,"18,2",11,283
Südoststeiermark,Steiermark,"4,7",4,98
Tamsweg,Salzburg,"44,3",9,42
Tulln,Niederöstereich,"44,3",46,402
Urfahr-Umgebung,Oberösterreich,"65,5",56,482
Villach Land,Kärnten,"12,4",8,126
Villach Stadt,Kärnten,"14,5",9,110
Vöcklabruck,Oberösterreich,"73,4",100,528
Voitsberg,Steiermark,"31,3",16,164
Völkermarkt,Kärnten,"107,5",45,121
Waidhofen an der Thaya,Niederöstereich,"77,3",20,150
Waidhofen an der Ybbs,Niederöstereich,0,0,30
Weiz,Steiermark,"13,3",12,297
Wels,Oberösterreich,"71,3",44,399
Wels-Land,Oberösterreich,"23,3",17,315
Wien,Wien,"139,6",2.649,18.416
Wiener Neustadt,Niederöstereich,"57,4",26,266
Wiener Neustadt (Land),Niederöstereich,"28,2",22,275
Wolfsberg,Kärnten,"11,4",6,89
Zell am See,Salzburg,"22,9",20,477
Zwettl,Niederöstereich,"54,5",23,190
