Bezirk,Bundesland,Δ 7 Tage / 100.000 EW,Δ 7 Tage,Gesamt pro 100.000 EW,Gesamt
Amstetten,Niederösterreich,85,99,"6499,30",7573
Baden,Niederösterreich,"299,8",440,"4628,90",6793
Bludenz,Vorarlberg,"98,3",63,"5447,10",3492
Braunau am Inn,Oberösterreich,"300,3",317,"5912,70",6241
Bregenz,Vorarlberg,"57,8",78,"5419,00",7315
Bruck an der Leitha,Niederösterreich,"237,1",246,"3908,00",4054
Bruck-Mürzzuschlag,Steiermark,"175,3",173,"4925,20",4861
Deutschlandsberg,Steiermark,"180,7",110,"4624,80",2815
Dornbirn,Vorarlberg,69,62,"6814,40",6127
Eferding,Oberösterreich,"132,6",44,"6920,20",2296
Eisenstadt,Burgenland,"155,2",23,"4312,90",639
Eisenstadt-Umgebung,Burgenland,"136,5",59,"3809,30",1647
Feldkirch,Vorarlberg,"101,7",110,"6024,10",6514
Feldkirchen,Kärnten,"133,8",40,"5849,10",1749
Freistadt,Oberösterreich,"86,7",58,"6337,00",4237
Gänserndorf,Niederösterreich,"312,1",327,"3835,60",4019
Gmünd,Niederösterreich,"281,8",103,"5430,50",1985
Gmunden,Oberösterreich,"139,4",142,"5918,00",6028
Graz,Steiermark,"126,8",369,"4023,40",11711
Graz-Umgebung,Steiermark,"119,8",187,"4078,30",6365
Grieskirchen,Oberösterreich,"64,7",42,"6760,70",4386
Güssing,Burgenland,"225,7",58,"5436,00",1397
Hallein,Salzburg,"198,9",121,"8565,70",5210
Hartberg-Fürstenfeld,Steiermark,"275,9",250,"5841,80",5293
Hermagor,Kärnten,"609,3",110,"9244,50",1669
Hollabrunn,Niederösterreich,"201,8",103,"3609,40",1842
Horn,Niederösterreich,"193,9",60,"3057,90",946
Imst,Tirol,"203,4",123,"5969,50",3610
Innsbruck-Land,Tirol,"64,3",116,"5682,90",10255
Innsbruck-Stadt,Tirol,"56,8",75,"5397,00",7122
Jennersdorf,Burgenland,"274,9",47,"5796,30",991
Kirchdorf an der Krems,Oberösterreich,"157,7",90,"5303,90",3027
Kitzbühel,Tirol,"144,9",93,"5608,70",3599
Klagenfurt Land,Kärnten,"171,6",103,"5313,80",3189
Klagenfurt Stadt,Kärnten,"148,1",150,"4840,10",4903
Korneuburg,Niederösterreich,"169,9",155,"3385,10",3089
Krems (Land),Niederösterreich,"136,3",77,"4470,10",2525
Krems an der Donau,Niederösterreich,"79,9",20,"4098,10",1026
Kufstein,Tirol,"126,9",140,"6688,90",7377
Landeck,Tirol,"112,6",50,"6813,00",3024
Leibnitz,Steiermark,"204,1",173,"4904,70",4157
Leoben,Steiermark,134,80,"4274,70",2552
Lienz,Tirol,"289,3",141,"7614,20",3711
Liezen,Steiermark,162,129,"5207,70",4148
Lilienfeld,Niederösterreich,"163,7",42,"4580,00",1175
Linz,Oberösterreich,"96,8",200,"4919,80",10164
Linz-Land,Oberösterreich,"102,4",155,"5039,30",7628
Mattersburg,Burgenland,"204,8",82,"4095,70",1640
Melk,Niederösterreich,"108,7",85,"5096,50",3985
Mistelbach,Niederösterreich,316,239,"3535,90",2674
Mödling,Niederösterreich,204,243,"3803,00",4530
Murau,Steiermark,"112,6",31,"4959,50",1366
Murtal,Steiermark,"110,2",79,"4962,50",3558
Neunkirchen,Niederösterreich,"265,2",229,"4697,50",4056
Neusiedl am See,Burgenland,"176,7",106,"3974,00",2384
Oberpullendorf,Burgenland,"141,8",53,"4499,30",1682
Oberwart,Burgenland,"245,4",133,"4506,20",2442
Perg,Oberösterreich,"182,7",126,"6404,40",4417
Reutte,Tirol,"51,8",17,"4272,50",1403
Ried im Innkreis,Oberösterreich,"179,9",111,"7224,80",4457
Rohrbach,Oberösterreich,122,69,"8021,90",4536
Rust,Burgenland,101,2,"3535,40",70
Salzburg,Salzburg,"174,8",271,"5711,50",8854
Salzburg-Umgebung,Salzburg,"228,7",351,"6178,20",9483
Sankt Johann im Pongau,Salzburg,"486,5",395,"9426,80",7654
Sankt Pölten,Niederösterreich,"207,2",115,"4856,40",2696
Sankt Pölten (Land),Niederösterreich,"154,9",204,"4127,40",5437
Sankt Veit an der Glan,Kärnten,"191,9",104,"5743,20",3112
Schärding,Oberösterreich,183,105,"7616,20",4371
Scheibbs,Niederösterreich,157,65,"6451,90",2672
Schwaz,Tirol,"192,1",162,"9580,30",8079
