Bezirk,Bundesland,Δ 7 Tage / 100000 EW,Δ 7 Tage,Gesamt pro 100000 EW,Gesamt
Amstetten,Niederöstereich,"590,5",688,"1643,50",1915
Baden,Niederöstereich,"333,9",490,"1375,10",2018
Bludenz,Vorarlberg,"603,7",387,"2109,00",1352
Braunau am Inn,Oberösterreich,"523,9",553,"1389,80",1467
Bregenz,Vorarlberg,"705,3",952,2120,2862
Bruck an der Leitha,Niederöstereich,"251,6",261,"1280,20",1328
Bruck-Mürzzuschlag,Steiermark,"519,8",513,"1202,70",1187
Deutschlandsberg,Steiermark,"394,3",240,"995,60",606
Dornbirn,Vorarlberg,"915,3",823,"2821,60",2537
Eferding,Oberösterreich,"1027,80",341,"2791,00",926
Eisenstadt,Burgenland,"364,5",54,"1451,10",215
Eisenstadt-Umgebung,Burgenland,"381,6",165,"1327,60",574
Feldkirch,Vorarlberg,"628,9",680,"2150,10",2325
Feldkirchen,Kärnten,"364,5",109,"892,90",267
Freistadt,Oberösterreich,"940,8",629,"2360,10",1578
Gänserndorf,Niederöstereich,"222,4",233,"1084,20",1136
Gmünd,Niederöstereich,"585,5",214,"1786,40",653
Gmunden,Oberösterreich,645,657,"1920,30",1956
Graz,Steiermark,"396,1",#ERROR!,"1379,40",4015
Graz-Umgebung,Steiermark,"358,8",560,"1150,10",1795
Grieskirchen,Oberösterreich,"829,3",538,"2466,30",1600
Güssing,Burgenland,"498,1",128,1401,360
Hallein,Salzburg,"585,3",356,"2597,70",1580
Hartberg-Fürstenfeld,Steiermark,"540,8",490,"1569,40",1422
Hermagor,Kärnten,"553,9",100,"1346,00",243
Hollabrunn,Niederöstereich,"397,8",203,"1044,40",533
Horn,Niederöstereich,"248,9",77,"911,60",282
Imst,Tirol,"590,3",357,"2196,00",1328
Innsbruck-Land,Tirol,"640,6",#ERROR!,"2282,00",4118
Innsbruck-Stadt,Tirol,"555,5",733,"2908,40",3838
Jennersdorf,Burgenland,"690,2",118,"1415,50",242
Kirchdorf an der Krems,Oberösterreich,"662,3",378,"1433,30",818
Kitzbühel,Tirol,"570,4",366,"1885,70",1210
Klagenfurt Land,Kärnten,"384,9",231,"889,80",534
Klagenfurt Stadt,Kärnten,"356,4",361,"1097,70",1112
Korneuburg,Niederöstereich,"324,4",296,"1454,20",1327
Krems (Land),Niederöstereich,"525,8",297,"1742,00",984
Krems an der Donau,Niederöstereich,"435,4",109,"1569,70",393
Kufstein,Tirol,"643,8",710,"2471,70",2726
Landeck,Tirol,"398,8",177,"3715,10",1649
Leibnitz,Steiermark,"545,1",462,"1523,20",1291
Leoben,Steiermark,"455,6",272,1307,780
Lienz,Tirol,474,231,1344,655
Liezen,Steiermark,"582,5",464,"1489,00",1186
Lilienfeld,Niederöstereich,"459,9",118,"1687,80",433
Linz,Oberösterreich,"583,3",#ERROR!,"1972,50",4075
Linz-Land,Oberösterreich,582,881,"1857,70",2812
Mattersburg,Burgenland,"364,6",146,"1211,20",485
Melk,Niederöstereich,"411,8",322,"1316,00",1029
Mistelbach,Niederöstereich,"211,6",160,"964,00",729
Mödling,Niederöstereich,"362,7",432,"1517,90",1808
Murau,Steiermark,"399,4",110,"773,30",213
Murtal,Steiermark,"397,5",285,1056,757
Neunkirchen,Niederöstereich,"304,6",263,"1372,40",1185
Neusiedl am See,Burgenland,"256,7",154,"1201,90",721
Oberpullendorf,Burgenland,"676,8",253,"1605,00",600
Oberwart,Burgenland,"546,2",296,"1845,30",1000
Perg,Oberösterreich,"800,4",552,"2109,70",1455
Reutte,Tirol,"356,30",117,"1166,30",383
Ried im Innkreis,Oberösterreich,"990,4",611,"2664,90",1644
Rohrbach,Oberösterreich,"1094,70",619,"2891,50",1635
Rust,Burgenland,"454,5",9,"959,60",19
Salzburg,Salzburg,"454,8",705,"1483,70",2300
Salzburg-Umgebung,Salzburg,629,966,"1922,60",2951
Sankt Johann im Pongau,Salzburg,"873,2",709,"2942,30",2389
Sankt Pölten,Niederöstereich,"459,30",255,"1651,80",917
Sankt Pölten (Land),Niederöstereich,"406,9",536,"1418,10",1868
Sankt Veit an der Glan,Kärnten,"354,3",192,"968,90",525
Schärding,Oberösterreich,"946,10",543,"2523,00",1448
Scheibbs,Niederöstereich,"618,1",256,"1533,30",635
Schwaz,Tirol,"1216,70",#ERROR!,"3784,00",3191
Spittal an der Drau,Kärnten,"158,2",120,"449,50",341
Steyr,Oberösterreich,"609,6",232,"1873,60",713
Steyr-Land,Oberösterreich,"907,5",551,"2205,30",1339
Südoststeiermark,Steiermark,"581,9",489,"1368,50",1150
Tamsweg,Salzburg,"839,5",170,"1841,90",373
Tulln,Niederöstereich,"388,2",406,"1464,70",1532
Urfahr-Umgebung,Oberösterreich,"947,6",815,"2332,40",2006
Villach Land,Kärnten,"349,7",226,"793,90",513
Villach Stadt,Kärnten,"478,7",301,"995,50",626
Vöcklabruck,Oberösterreich,"685,4",941,"1892,20",2598
Voitsberg,Steiermark,"438,8",224,"1392,90",711
Völkermarkt,Kärnten,"453,9",190,"1204,00",504
Waidhofen an der Thaya,Niederöstereich,"397,2",102,"1767,80",454
Waidhofen an der Ybbs,Niederöstereich,"525,8",59,"1327,70",149
Weiz,Steiermark,"347,5",315,"1215,60",1102
Wels,Oberösterreich,"605,1",378,"2357,90",1473
Wels-Land,Oberösterreich,"619,4",457,"1722,80",1271
Wien,Wien,"267,6",#ERROR!,"2050,30",39185
Wiener Neustadt,Niederöstereich,"327,3",150,"1804,80",827
Wiener Neustadt (Land),Niederöstereich,"323,1",253,"1192,70",934
Wolfsberg,Kärnten,"389,7",205,"921,90",485
Zell am See,Salzburg,"432,5",379,"1548,60",1357
Zwettl,Niederöstereich,"390,6",164,"1483,80",623
